index_i,index_j,sea_water_speed,direction_of_sea_water_velocity_x,direction_of_sea_water_velocity_y
0,0,40.10879704,-0.938947682599484,-0.3440599502137067
0,1,43.36784423983633,-0.6295004642421492,-0.5064862786684778
0,2,43.36784423983633,-0.6295004642421492,-0.5064862786684778
0,3,43.36784423983633,-0.6295004642421492,-0.5064862786684778
0,4,29.99832162,-0.984389125422378,-0.1760058230575511
0,5,43.36784423983633,-0.6295004642421492,-0.5064862786684778
0,6,43.36784423983633,-0.6295004642421492,-0.5064862786684778
0,7,43.36784423983633,-0.6295004642421492,-0.5064862786684778
0,8,28.602372886666668,-0.422425926343785,-0.42492511783134335
0,9,28.602372886666668,-0.422425926343785,-0.42492511783134335
0,10,28.602372886666668,-0.422425926343785,-0.42492511783134335
0,11,28.602372886666668,-0.422425926343785,-0.42492511783134335
0,12,28.602372886666668,-0.422425926343785,-0.42492511783134335
0,13,28.602372886666668,-0.422425926343785,-0.42492511783134335
0,14,28.602372886666668,-0.422425926343785,-0.42492511783134335
0,15,28.602372886666668,-0.422425926343785,-0.42492511783134335
0,16,28.602372886666668,-0.422425926343785,-0.42492511783134335
0,17,28.602372886666668,-0.422425926343785,-0.42492511783134335
0,18,28.602372886666668,-0.422425926343785,-0.42492511783134335
0,19,28.602372886666668,-0.422425926343785,-0.42492511783134335
0,20,17.06610720666667,0.17323933324151833,-0.13359871301570614
0,21,17.06610720666667,0.17323933324151833,-0.13359871301570614
0,22,17.06610720666667,0.17323933324151838,-0.13359871301570614
0,23,17.06610720666667,0.17323933324151838,-0.13359871301570614
0,24,17.06610720666667,0.17323933324151838,-0.13359871301570614
0,25,17.06610720666667,0.17323933324151838,-0.13359871301570614
0,26,11.5,0.22831836028598043,-0.2661222507802045
0,27,11.5,0.22831836028598043,-0.2661222507802045
0,28,11.5,0.22831836028598043,-0.2661222507802045
0,29,11.5,0.2283183602859804,-0.2661222507802045
0,30,14.033333333333333,-0.3747849037456012,-0.5346411241302724
0,31,14.033333333333333,-0.3747849037456012,-0.5346411241302724
0,32,14.033333333333333,-0.3747849037456012,-0.5346411241302724
0,33,14.033333333333333,-0.3747849037456012,-0.5346411241302724
0,34,14.033333333333331,-0.3747849037456012,-0.5346411241302724
0,35,14.033333333333331,-0.3747849037456012,-0.5346411241302724
0,36,14.033333333333331,-0.3747849037456012,-0.5346411241302724
0,37,14.033333333333331,-0.3747849037456012,-0.5346411241302724
0,38,14.033333333333331,-0.3747849037456012,-0.5346411241302724
0,39,14.0,-0.39754282931161256,-0.5527435955143308
0,40,14.0,-0.39754282931161256,-0.5527435955143308
0,41,14.0,-0.39754282931161256,-0.5527435955143308
0,42,14.0,-0.39754282931161256,-0.5527435955143308
0,43,12.0,0.12809822777637989,-0.7235347281109051
0,44,12.0,0.1280982277763799,-0.7235347281109051
0,45,12.0,0.1280982277763799,-0.7235347281109051
0,46,13.366666666666665,0.6774947667243912,-0.7187402171508053
0,47,13.366666666666665,0.6774947667243912,-0.7187402171508053
0,48,13.366666666666665,0.6774947667243912,-0.7187402171508053
0,49,14.466666666666667,0.8098356002976361,-0.3911851598035127
0,50,14.466666666666667,0.8098356002976361,-0.3911851598035127
0,51,14.466666666666667,0.8098356002976361,-0.3911851598035127
0,52,14.466666666666667,0.8098356002976361,-0.3911851598035127
0,53,14.466666666666667,0.8098356002976361,-0.3911851598035127
0,54,14.466666666666667,0.8098356002976361,-0.3911851598035127
0,55,14.466666666666667,0.8098356002976361,-0.3911851598035127
0,56,14.466666666666667,0.8098356002976361,-0.3911851598035127
0,57,14.466666666666667,0.8098356002976361,-0.3911851598035127
0,58,14.466666666666667,0.8098356002976361,-0.3911851598035127
0,59,14.466666666666667,0.8098356002976361,-0.3911851598035127
0,60,17.8,0.6739190054616696,-0.4545641088458739
0,61,15.933333333333332,0.8005435259532411,0.1411574228570437
0,62,14.666666666666666,0.5987976397099888,0.2047676564508583
0,63,14.666666666666666,0.5987976397099888,0.2047676564508583
0,64,14.666666666666666,0.5987976397099888,0.2047676564508583
0,65,14.666666666666666,0.5987976397099888,0.2047676564508583
0,66,14.666666666666666,0.5987976397099888,0.2047676564508583
0,67,14.666666666666666,0.5987976397099888,0.2047676564508583
0,68,14.666666666666666,0.5987976397099888,0.2047676564508583
0,69,14.666666666666666,0.5987976397099888,0.2047676564508583
0,70,14.666666666666666,0.5987976397099888,0.2047676564508583
0,71,14.666666666666666,0.5987976397099888,0.2047676564508583
0,72,14.666666666666666,0.5987976397099888,0.2047676564508583
0,73,14.666666666666666,0.5987976397099888,0.2047676564508583
0,74,14.666666666666666,0.5987976397099888,0.2047676564508583
0,75,14.666666666666666,0.5987976397099888,0.2047676564508583
0,76,17.68768487141333,0.286455115844071,-0.029089910889297226
0,77,17.68768487141333,0.286455115844071,-0.029089910889297226
0,78,17.68768487141333,0.286455115844071,-0.029089910889297226
0,79,17.68768487141333,0.286455115844071,-0.029089910889297226
0,80,17.68768487141333,0.286455115844071,-0.029089910889297226
0,81,17.68768487141333,0.286455115844071,-0.029089910889297226
0,82,17.68768487141333,0.286455115844071,-0.029089910889297226
0,83,17.68768487141333,0.286455115844071,-0.029089910889297226
0,84,17.68768487141333,0.286455115844071,-0.029089910889297226
0,85,17.68768487141333,0.286455115844071,-0.029089910889297226
0,86,17.68768487141333,0.286455115844071,-0.029089910889297226
0,87,17.68768487141333,0.286455115844071,-0.029089910889297226
0,88,17.68768487141333,0.286455115844071,-0.029089910889297226
0,89,17.68768487141333,0.286455115844071,-0.029089910889297226
0,90,17.68768487141333,0.286455115844071,-0.029089910889297226
0,91,17.68768487141333,0.286455115844071,-0.029089910889297226
0,92,17.68768487141333,0.286455115844071,-0.029089910889297226
0,93,17.68768487141333,0.286455115844071,-0.029089910889297226
0,94,17.68768487141333,0.286455115844071,-0.029089910889297226
0,95,17.68768487141333,0.286455115844071,-0.029089910889297226
0,96,17.68768487141333,0.286455115844071,-0.029089910889297226
0,97,17.68768487141333,0.286455115844071,-0.029089910889297226
0,98,17.68768487141333,0.286455115844071,-0.029089910889297226
0,99,17.68768487141333,0.286455115844071,-0.029089910889297226
0,100,17.68768487141333,0.286455115844071,-0.029089910889297226
0,101,17.68768487141333,0.286455115844071,-0.029089910889297226
0,102,17.68768487141333,0.286455115844071,-0.029089910889297226
0,103,17.68768487141333,0.286455115844071,-0.029089910889297226
1,0,43.36784423983633,-0.6295004642421492,-0.5064862786684778
1,1,43.36784423983633,-0.6295004642421492,-0.5064862786684778
